0 1 2.0 
0 14 3.0 
0 26 5.0 
0 64 6.0 
0 100 9.0 
31 12437 15.0 
151 60463 18.0 
==== END RUN ====
0 1 3.0 
0 7 4.0 
0 157 5.0 
0 236 7.0 
1 423 8.0 
16 6435 9.0 
38 15237 10.0 
==== END RUN ====
0 1 1.0 
0 3 3.0 
0 11 4.0 
0 135 5.0 
0 145 6.0 
0 154 8.0 
1 473 9.0 
10 4037 12.0 
17 6968 13.0 
26 10455 15.0 
42 16863 16.0 
==== END RUN ====
0 1 1.0 
0 5 6.0 
0 63 9.0 
228 91229 11.0 
==== END RUN ====
0 1 1.0 
0 3 2.0 
0 27 9.0 
1 542 10.0 
4 1961 12.0 
15 6093 17.0 
20 8041 18.0 
29 11675 20.0 
==== END RUN ====
0 1 4.0 
0 27 8.0 
0 103 10.0 
0 177 12.0 
19 7641 13.0 
74 29653 14.0 
==== END RUN ====
0 1 1.0 
0 3 3.0 
0 37 10.0 
3 1567 11.0 
4 1649 15.0 
4 1955 16.0 
21 8461 17.0 
28 11269 19.0 
==== END RUN ====
0 1 1.0 
0 5 2.0 
0 16 3.0 
0 22 5.0 
0 151 8.0 
3 1480 10.0 
22 8841 15.0 
60 24063 19.0 
73 29261 20.0 
==== END RUN ====
0 1 1.0 
0 3 6.0 
0 30 7.0 
0 75 8.0 
1 609 10.0 
37 14843 11.0 
==== END RUN ====
0 1 1.0 
0 11 4.0 
0 33 6.0 
0 67 10.0 
2 867 11.0 
5 2364 12.0 
35 14049 13.0 
==== END RUN ====
0 1 2.0 
0 3 4.0 
0 47 5.0 
0 59 6.0 
0 144 8.0 
1 536 10.0 
3 1412 13.0 
25 10051 14.0 
28 11249 15.0 
83 33251 16.0 
==== END RUN ====
0 1 2.0 
0 3 3.0 
0 18 4.0 
0 19 6.0 
0 159 7.0 
1 467 8.0 
1 490 10.0 
5 2333 13.0 
13 5381 14.0 
70 28057 15.0 
1987 794859 19.0 
==== END RUN ====
0 1 3.0 
0 57 6.0 
0 289 7.0 
0 315 9.0 
2 1130 10.0 
6 2443 11.0 
24 9645 15.0 
67 26861 16.0 
110 44067 17.0 
==== END RUN ====
0 1 3.0 
0 9 4.0 
0 41 5.0 
0 73 6.0 
0 366 7.0 
1 467 8.0 
1 478 9.0 
2 961 10.0 
2 964 11.0 
21 8445 15.0 
==== END RUN ====
0 1 2.0 
0 9 4.0 
0 40 5.0 
0 135 6.0 
0 181 13.0 
29 11643 14.0 
30 12099 15.0 
77 30861 16.0 
78 31263 19.0 
109 43677 21.0 
270 108077 22.0 
==== END RUN ====
0 1 3.0 
0 7 4.0 
0 85 5.0 
0 91 6.0 
0 210 7.0 
1 407 8.0 
2 1033 10.0 
2 1066 11.0 
50 20047 15.0 
==== END RUN ====
0 1 1.0 
0 3 2.0 
0 5 4.0 
0 40 5.0 
0 76 6.0 
0 109 7.0 
0 118 10.0 
1 518 13.0 
17 6853 14.0 
==== END RUN ====
0 1 3.0 
0 58 4.0 
0 60 8.0 
1 601 9.0 
1 771 10.0 
3 1243 12.0 
17 6851 14.0 
21 8449 18.0 
65 26075 20.0 
66 26475 23.0 
1453 581275 24.0 
==== END RUN ====
0 1 1.0 
0 3 2.0 
0 7 3.0 
0 22 5.0 
0 54 7.0 
0 261 9.0 
1 668 10.0 
10 4021 11.0 
17 6821 13.0 
137 54823 16.0 
2732 1092823 17.0 
==== END RUN ====
0 1 2.0 
0 11 6.0 
0 34 8.0 
1 433 9.0 
9 3637 11.0 
16 6439 12.0 
29 11649 13.0 
==== END RUN ====
0 1 5.0 
0 69 6.0 
0 336 7.0 
0 375 8.0 
1 492 9.0 
1 765 13.0 
64 25653 14.0 
65 26055 15.0 
==== END RUN ====
0 1 1.0 
0 5 2.0 
0 25 3.0 
0 40 4.0 
0 67 6.0 
1 484 8.0 
1 755 9.0 
2 884 10.0 
14 5641 17.0 
30 12041 19.0 
38 15271 20.0 
43 17283 22.0 
==== END RUN ====
0 1 2.0 
0 3 4.0 
0 39 5.0 
0 135 6.0 
0 164 7.0 
0 282 8.0 
44 17647 10.0 
54 21643 13.0 
55 22043 14.0 
78 31259 16.0 
==== END RUN ====
0 1 1.0 
0 5 2.0 
0 15 4.0 
0 63 8.0 
3 1462 10.0 
33 13241 12.0 
==== END RUN ====
0 1 4.0 
0 17 5.0 
0 19 6.0 
0 168 10.0 
2 813 11.0 
5 2045 14.0 
6 2445 15.0 
15 6047 17.0 
17 6954 20.0 
25 10071 21.0 
38 15285 23.0 
==== END RUN ====
0 1 1.0 
0 3 3.0 
0 11 5.0 
0 44 8.0 
0 78 10.0 
3 1241 11.0 
37 14845 12.0 
37 14959 13.0 
39 15645 15.0 
56 22461 16.0 
==== END RUN ====
0 1 3.0 
0 3 4.0 
0 15 6.0 
0 107 7.0 
0 235 8.0 
0 350 9.0 
2 1198 10.0 
9 3787 11.0 
12 4845 12.0 
18 7245 14.0 
63 25257 15.0 
82 32861 16.0 
==== END RUN ====
0 1 2.0 
0 18 3.0 
0 29 6.0 
1 419 8.0 
1 480 9.0 
2 1010 10.0 
4 1775 15.0 
41 16463 17.0 
47 18869 19.0 
502 200869 22.0 
==== END RUN ====
0 1 2.0 
0 5 3.0 
0 25 4.0 
0 26 6.0 
0 132 7.0 
0 172 9.0 
0 222 10.0 
24 9641 19.0 
