0 1 1.0 
5 11 2.0 
11 23 5.0 
13 27 6.0 
20 41 10.0 
547 1095 15.0 
2441 4883 16.0 
3239 6479 21.0 
5574 11149 23.0 
9175 18351 24.0 
10277 20555 25.0 
10338 20677 27.0 
10425 20851 28.0 
11647 23295 30.0 
12231 24463 31.0 
13181 26363 37.0 
16418 32837 38.0 
17110 34221 39.0 
19728 39457 41.0 
20051 40103 42.0 
20104 40209 44.0 
21830 43661 45.0 
22424 44849 47.0 
23188 46377 48.0 
24431 48863 51.0 
26838 53677 53.0 
27894 55789 54.0 
28744 57489 55.0 
28976 57953 56.0 
30427 60855 57.0 
30874 61749 64.0 
32779 65559 66.0 
36879 73759 69.0 
37363 74727 71.0 
37661 75323 73.0 
40817 81635 74.0 
40836 81673 78.0 
41185 82371 80.0 
44892 89785 84.0 
45408 90817 85.0 
47266 94533 88.0 
50991 101983 89.0 
51196 102393 91.0 
51783 103567 94.0 
53056 106113 100.0 
==== END RUN ====
0 1 0.0 
1 3 1.0 
12 25 2.0 
13 27 3.0 
23 47 4.0 
27 55 5.0 
31 63 8.0 
203 407 9.0 
305 611 13.0 
615 1231 14.0 
2848 5697 16.0 
3915 7831 20.0 
5024 10049 24.0 
7087 14175 25.0 
8288 16577 29.0 
9139 18279 31.0 
11844 23689 35.0 
14607 29215 39.0 
15133 30267 42.0 
19861 39723 43.0 
20434 40869 44.0 
20573 41147 45.0 
21926 43853 47.0 
23529 47059 49.0 
24236 48473 53.0 
25826 51653 54.0 
26356 52713 55.0 
27725 55451 56.0 
29494 58989 57.0 
29876 59753 60.0 
31539 63079 62.0 
32886 65773 63.0 
33122 66245 64.0 
33451 66903 65.0 
33954 67909 70.0 
35680 71361 71.0 
36400 72801 72.0 
36737 73475 75.0 
38817 77635 79.0 
41167 82335 80.0 
42175 84351 83.0 
43941 87883 84.0 
46865 93731 85.0 
47202 94405 87.0 
47712 95425 88.0 
48289 96579 89.0 
48382 96765 92.0 
49209 98419 93.0 
51214 102429 95.0 
53198 106397 96.0 
54194 108389 97.0 
55663 111327 100.0 
==== END RUN ====
0 1 5.0 
7 15 8.0 
72 145 9.0 
112 225 11.0 
325 651 13.0 
1979 3959 14.0 
3017 6035 15.0 
3099 6199 19.0 
5165 10331 24.0 
9057 18115 25.0 
9594 19189 26.0 
10127 20255 29.0 
10821 21643 31.0 
13021 26043 32.0 
13254 26509 34.0 
14273 28547 44.0 
18442 36885 46.0 
20347 40695 48.0 
20935 41871 54.0 
26678 53357 56.0 
28363 56727 61.0 
30341 60683 64.0 
33060 66121 67.0 
34716 69433 69.0 
35236 70473 70.0 
35794 71589 72.0 
37261 74523 75.0 
39175 78351 76.0 
40353 80707 81.0 
43863 87727 82.0 
45545 91091 83.0 
46307 92615 84.0 
46651 93303 85.0 
47553 95107 86.0 
48468 96937 87.0 
49023 98047 89.0 
50641 101283 91.0 
50878 101757 94.0 
52506 105013 97.0 
53015 106031 98.0 
53847 107695 100.0 
==== END RUN ====
0 1 5.0 
54 109 8.0 
282 565 9.0 
598 1197 11.0 
1604 3209 14.0 
2169 4339 15.0 
4127 8255 16.0 
4545 9091 18.0 
5105 10211 20.0 
5482 10965 21.0 
7275 14551 22.0 
8127 16255 26.0 
10185 20371 28.0 
11494 22989 29.0 
13057 26115 30.0 
13488 26977 33.0 
14550 29101 36.0 
16984 33969 39.0 
17934 35869 40.0 
18378 36757 42.0 
20311 40623 46.0 
22000 44001 52.0 
24976 49953 56.0 
28715 57431 57.0 
29034 58069 60.0 
30851 61703 61.0 
30995 61991 63.0 
31089 62179 64.0 
31352 62705 67.0 
34324 68649 68.0 
35411 70823 70.0 
35876 71753 73.0 
39435 78871 81.0 
43109 86219 84.0 
43543 87087 87.0 
45352 90705 88.0 
46080 92161 89.0 
46267 92535 91.0 
47534 95069 93.0 
49380 98761 97.0 
51408 102817 100.0 
==== END RUN ====
0 1 4.0 
11 23 5.0 
36 73 6.0 
54 109 7.0 
250 501 10.0 
450 901 11.0 
