0 1 2.0 
0 15 5.0 
0 119 6.0 
0 266 7.0 
0 364 9.0 
1 1591 11.0 
2 1960 12.0 
8 6596 13.0 
15 12569 16.0 
31 25445 23.0 
85 68484 24.0 
99 79417 26.0 
146 117055 27.0 
150 120081 28.0 
156 124915 30.0 
162 129880 31.0 
180 144159 33.0 
204 163393 34.0 
232 186282 35.0 
236 189106 36.0 
240 192570 44.0 
302 242278 45.0 
315 252185 46.0 
327 262323 48.0 
353 282487 51.0 
360 288191 54.0 
370 296705 59.0 
435 348437 60.0 
457 366309 61.0 
480 384017 63.0 
512 410059 65.0 
560 448588 66.0 
578 462921 68.0 
617 494031 69.0 
623 498947 71.0 
635 508707 72.0 
664 531779 73.0 
676 541577 76.0 
683 547040 79.0 
714 571437 83.0 
714 571779 84.0 
776 621513 87.0 
806 644945 88.0 
810 648029 91.0 
863 690653 92.0 
865 692375 93.0 
870 696691 96.0 
919 735711 100.0 
==== END RUN ====
0 1 1.0 
0 3 2.0 
0 7 5.0 
0 21 6.0 
0 37 7.0 
1 1468 8.0 
4 3217 14.0 
27 21804 15.0 
44 35273 16.0 
49 39814 21.0 
52 42356 25.0 
153 122734 27.0 
184 147967 29.0 
190 152405 34.0 
235 188792 36.0 
268 215126 37.0 
283 226733 39.0 
288 230721 41.0 
306 244829 42.0 
319 255331 44.0 
383 306531 45.0 
413 330731 50.0 
465 372794 53.0 
486 389201 54.0 
526 421404 55.0 
552 441941 56.0 
590 472325 57.0 
617 494164 58.0 
622 497615 59.0 
657 526113 61.0 
664 531793 62.0 
690 552219 63.0 
715 572566 64.0 
716 573598 68.0 
720 576209 69.0 
727 582287 70.0 
746 597421 74.0 
789 631974 76.0 
806 645235 80.0 
813 650833 81.0 
867 693887 82.0 
899 719971 83.0 
900 720697 85.0 
932 746253 86.0 
969 775873 89.0 
987 789891 93.0 
1080 864671 94.0 
1086 869425 95.0 
1094 875345 97.0 
1097 878317 98.0 
1105 884719 99.0 
1121 896891 100.0 
==== END RUN ====
0 1 1.0 
0 3 2.0 
0 5 3.0 
0 7 4.0 
0 31 6.0 
0 254 10.0 
3 2496 11.0 
7 6088 14.0 
31 24805 16.0 
46 37117 17.0 
55 44649 19.0 
80 64182 21.0 
89 71805 22.0 
112 89665 25.0 
133 107024 30.0 
156 124909 34.0 
244 195876 35.0 
253 203107 36.0 
270 216470 38.0 
295 236273 44.0 
360 288402 45.0 
367 293909 53.0 
406 325171 55.0 
462 369859 56.0 
475 380726 57.0 
477 382045 58.0 
496 397391 63.0 
560 448367 66.0 
573 458595 67.0 
578 463128 69.0 
626 501574 71.0 
698 559120 72.0 
708 566953 74.0 
720 576633 75.0 
733 587196 76.0 
745 596597 80.0 
815 652645 81.0 
820 656601 82.0 
824 659647 83.0 
846 676909 85.0 
855 684197 86.0 
866 693223 88.0 
890 712569 89.0 
939 751667 90.0 
960 768463 97.0 
969 775641 98.0 
976 781517 100.0 
==== END RUN ====
0 1 1.0 
0 3 2.0 
0 7 3.0 
0 13 4.0 
0 45 6.0 
0 49 7.0 
0 166 8.0 
0 275 11.0 
5 4644 13.0 
19 15845 14.0 
24 19412 16.0 
55 44551 20.0 
74 59841 22.0 
112 90237 26.0 
144 115995 29.0 
192 153871 30.0 
193 154905 31.0 
219 175528 32.0 
229 183685 35.0 
244 195267 36.0 
266 213567 38.0 
279 223483 39.0 
283 226805 41.0 
306 244853 43.0 
331 265205 45.0 
347 278381 46.0 
369 295361 47.0 
374 299977 51.0 
388 310745 54.0 
397 318399 56.0 
429 343311 57.0 
466 373127 58.0 
482 386369 62.0 
483 386966 64.0 
531 425481 65.0 
571 456951 66.0 
588 470411 67.0 
595 476283 68.0 
613 490767 74.0 
669 535765 77.0 
689 551593 78.0 
711 569365 80.0 
722 578219 84.0 
773 618767 85.0 
783 626691 87.0 
800 640295 89.0 
834 667341 92.0 
834 667497 96.0 
896 717231 98.0 
968 774775 99.0 
978 782741 100.0 
==== END RUN ====
0 1 1.0 
0 7 3.0 
0 47 7.0 
0 577 8.0 
2 2046 9.0 
4 3679 10.0 
6 5365 12.0 
8 6864 13.0 
13 10693 14.0 
16 12962 15.0 
24 19585 16.0 
29 23229 17.0 
29 23601 18.0 
54 43297 21.0 
88 71064 24.0 
141 113412 26.0 
143 114779 27.0 
151 121291 30.0 
207 166167 31.0 
207 166219 32.0 
216 173328 36.0 
287 229707 37.0 
294 235371 41.0 
323 259078 44.0 
358 287056 46.0 
379 303635 47.0 
410 328353 48.0 
411 329421 49.0 
425 340317 50.0 
440 352371 51.0 
440 352740 54.0 
463 371170 55.0 
464 371265 57.0 
480 384514 60.0 
500 400357 61.0 
522 418071 67.0 
623 498777 70.0 
661 529343 73.0 
703 563165 75.0 
720 576541 78.0 
764 611729 79.0 
766 613580 82.0 
808 646897 84.0 
811 649147 85.0 
878 702655 86.0 
889 711875 88.0 
928 743105 90.0 
