0 1 2.0 
0 7 3.0 
0 74 4.0 
0 76 5.0 
0 156 6.0 
0 183 7.0 
0 388 10.0 
1 805 14.0 
4 3275 15.0 
6 4839 16.0 
25 20131 17.0 
27 21733 19.0 
30 24133 20.0 
437 349731 21.0 
==== END RUN ====
0 1 1.0 
0 11 2.0 
0 15 4.0 
0 50 5.0 
0 61 8.0 
0 439 10.0 
13 10518 11.0 
17 13703 13.0 
23 18639 14.0 
26 20917 15.0 
==== END RUN ====
0 1 1.0 
0 3 3.0 
0 33 6.0 
0 99 8.0 
0 233 11.0 
1 1039 14.0 
6 4855 17.0 
24 19343 19.0 
51 40953 20.0 
53 42553 21.0 
==== END RUN ====
0 1 1.0 
0 5 2.0 
0 15 4.0 
0 70 6.0 
0 206 7.0 
0 264 8.0 
0 602 9.0 
7 5673 10.0 
9 7275 11.0 
20 16087 13.0 
23 18509 15.0 
39 31327 16.0 
==== END RUN ====
0 1 2.0 
0 3 3.0 
0 11 4.0 
0 37 6.0 
0 392 7.0 
1 1521 9.0 
2 1647 11.0 
5 4071 13.0 
5 4232 17.0 
7 6193 18.0 
13 10547 19.0 
18 14549 20.0 
36 28961 22.0 
72 57781 24.0 
==== END RUN ====
0 1 2.0 
0 3 3.0 
0 31 4.0 
0 52 5.0 
0 79 6.0 
0 155 7.0 
0 345 8.0 
0 602 9.0 
1 1203 10.0 
3 2907 12.0 
6 5526 15.0 
6 5541 17.0 
22 17741 19.0 
==== END RUN ====
0 1 1.0 
0 7 6.0 
0 118 7.0 
0 316 8.0 
1 825 9.0 
1 916 11.0 
2 1979 12.0 
9 7414 13.0 
38 30511 14.0 
67 53719 16.0 
102 81733 17.0 
==== END RUN ====
0 1 1.0 
0 5 2.0 
0 26 3.0 
0 31 5.0 
0 100 8.0 
0 449 10.0 
2 2164 12.0 
51 40881 13.0 
84 67303 14.0 
94 75883 15.0 
140 112125 16.0 
181 144929 17.0 
==== END RUN ====
0 1 2.0 
0 3 5.0 
0 33 8.0 
1 969 11.0 
9 7265 12.0 
28 22497 13.0 
==== END RUN ====
0 1 3.0 
0 9 6.0 
0 21 7.0 
0 37 8.0 
2 1635 12.0 
4 3408 13.0 
7 5705 19.0 
8 6717 24.0 
47 37793 27.0 
327 261795 28.0 
==== END RUN ====
0 1 1.0 
0 3 2.0 
0 5 4.0 
0 21 6.0 
0 165 7.0 
0 245 8.0 
0 797 12.0 
7 5976 13.0 
11 8990 16.0 
21 16933 23.0 
26 20987 25.0 
30 24187 31.0 
48 38585 34.0 
54 43479 35.0 
==== END RUN ====
0 1 4.0 
0 21 8.0 
2 1770 12.0 
4 3399 14.0 
6 5266 16.0 
19 15333 19.0 
23 18531 21.0 
63 50409 23.0 
70 56185 24.0 
==== END RUN ====
0 1 1.0 
0 5 2.0 
0 9 4.0 
0 50 5.0 
0 142 8.0 
1 918 9.0 
1 1334 10.0 
2 1857 14.0 
9 7277 16.0 
32 25733 18.0 
59 47331 19.0 
90 72129 21.0 
==== END RUN ====
0 1 1.0 
0 11 2.0 
0 23 7.0 
0 75 13.0 
3 2648 14.0 
7 5707 15.0 
10 8105 17.0 
38 30539 18.0 
45 36147 20.0 
51 40949 21.0 
==== END RUN ====
0 1 2.0 
0 7 4.0 
0 15 5.0 
0 101 6.0 
0 136 8.0 
0 249 10.0 
1 1025 15.0 
2 1601 16.0 
7 5735 17.0 
8 6531 18.0 
10 8133 19.0 
15 12135 20.0 
29 23365 21.0 
38 30575 26.0 
==== END RUN ====
0 1 1.0 
0 3 2.0 
0 9 7.0 
0 221 10.0 
0 394 11.0 
1 908 12.0 
8 6850 13.0 
18 14511 15.0 
==== END RUN ====
0 1 1.0 
0 5 2.0 
0 9 3.0 
0 11 4.0 
0 43 6.0 
0 214 7.0 
1 1368 9.0 
14 11261 11.0 
15 12291 13.0 
16 12957 14.0 
21 16938 17.0 
28 22493 18.0 
34 27345 19.0 
74 59353 20.0 
==== END RUN ====
0 1 4.0 
0 42 5.0 
0 47 8.0 
1 871 9.0 
1 891 12.0 
1 1541 14.0 
2 1617 15.0 
4 3393 18.0 
4 3813 19.0 
6 5242 25.0 
13 10601 26.0 
1738 1390605 29.0 
==== END RUN ====
0 1 3.0 
0 19 5.0 
0 142 6.0 
0 194 7.0 
0 233 9.0 
2 2148 11.0 
9 7291 13.0 
16 12895 16.0 
20 16095 17.0 
127 101695 18.0 
==== END RUN ====
0 1 1.0 
0 3 2.0 
0 11 4.0 
0 137 5.0 
0 291 7.0 
0 711 8.0 
3 2760 10.0 
3 2859 11.0 
4 3327 12.0 
4 3821 13.0 
5 4390 16.0 
5 4433 21.0 
6 5502 25.0 
22 17807 26.0 
==== END RUN ====
0 1 1.0 
0 5 3.0 
0 33 7.0 
0 107 8.0 
0 298 9.0 
0 511 11.0 
5 4641 16.0 
14 11329 18.0 
40 32151 19.0 
55 44153 20.0 
60 48165 22.0 
62 49765 23.0 
==== END RUN ====
0 1 3.0 
