0 1 1.0 
0 9 4.0 
0 39 7.0 
2 204 8.0 
4 442 10.0 
10 1071 11.0 
14 1424 13.0 
26 2661 17.0 
38 3847 18.0 
44 4418 23.0 
61 6140 27.0 
99 9912 28.0 
106 10626 29.0 
110 11070 31.0 
120 12019 32.0 
126 12645 33.0 
138 13865 34.0 
149 14939 35.0 
149 14961 38.0 
158 15898 39.0 
167 16713 43.0 
173 17364 47.0 
197 19769 48.0 
204 20481 52.0 
220 22004 59.0 
255 25540 61.0 
280 28093 62.0 
291 29184 65.0 
292 29298 66.0 
311 31167 68.0 
315 31574 70.0 
333 33386 76.0 
350 35036 77.0 
361 36158 80.0 
361 36190 81.0 
374 37474 82.0 
393 39334 83.0 
394 39478 85.0 
404 40488 87.0 
418 41892 88.0 
425 42569 90.0 
434 43422 91.0 
438 43870 92.0 
445 44515 95.0 
461 46104 98.0 
467 46783 99.0 
478 47846 100.0 
==== END RUN ====
0 1 2.0 
0 29 5.0 
0 37 7.0 
0 80 10.0 
7 732 13.0 
19 1901 14.0 
31 3198 15.0 
35 3530 16.0 
38 3822 17.0 
46 4649 19.0 
50 5022 21.0 
61 6108 22.0 
61 6130 24.0 
73 7345 28.0 
118 11887 29.0 
121 12118 32.0 
122 12260 33.0 
136 13604 35.0 
136 13660 36.0 
164 16443 42.0 
183 18384 43.0 
205 20524 44.0 
206 20617 45.0 
208 20856 46.0 
222 22243 47.0 
226 22613 48.0 
227 22750 50.0 
229 22916 51.0 
232 23204 52.0 
236 23631 53.0 
260 26067 55.0 
264 26423 57.0 
278 27818 59.0 
281 28119 62.0 
296 29669 63.0 
304 30426 64.0 
320 32066 66.0 
329 32935 69.0 
338 33815 71.0 
358 35838 76.0 
380 38061 77.0 
390 39091 78.0 
392 39244 80.0 
394 39480 85.0 
435 43563 90.0 
466 46630 91.0 
467 46777 92.0 
476 47679 93.0 
479 47947 94.0 
480 48006 96.0 
497 49745 98.0 
500 50006 99.0 
508 50837 100.0 
==== END RUN ====
0 1 0.0 
0 3 5.0 
0 79 6.0 
3 350 9.0 
4 415 12.0 
34 3493 15.0 
40 4074 16.0 
48 4826 19.0 
68 6842 21.0 
70 7060 22.0 
74 7474 23.0 
93 9314 25.0 
98 9838 26.0 
102 10284 27.0 
105 10569 28.0 
110 11015 32.0 
128 12871 33.0 
134 13418 35.0 
141 14179 37.0 
158 15879 38.0 
163 16383 39.0 
168 16812 41.0 
172 17266 42.0 
177 17752 43.0 
179 17972 44.0 
186 18602 45.0 
198 19888 47.0 
204 20478 48.0 
220 22013 49.0 
222 22279 56.0 
247 24763 57.0 
259 25952 59.0 
276 27689 63.0 
279 27922 64.0 
291 29139 66.0 
305 30526 67.0 
316 31624 68.0 
321 32101 71.0 
337 33777 76.0 
352 35233 77.0 
371 37107 78.0 
372 37249 79.0 
376 37620 82.0 
395 39507 83.0 
396 39643 89.0 
445 44545 91.0 
453 45344 92.0 
453 45347 94.0 
467 46787 95.0 
475 47590 98.0 
480 48089 99.0 
489 48929 100.0 
==== END RUN ====
0 1 0.0 
0 5 5.0 
0 25 7.0 
7 766 10.0 
10 1051 11.0 
15 1537 13.0 
32 3285 14.0 
36 3637 15.0 
39 3990 17.0 
40 4042 21.0 
53 5322 23.0 
66 6613 24.0 
88 8849 26.0 
97 9761 28.0 
104 10461 29.0 
106 10632 30.0 
112 11271 31.0 
127 12731 32.0 
134 13498 33.0 
141 14157 34.0 
146 14667 35.0 
150 15011 38.0 
155 15543 39.0 
163 16363 40.0 
167 16729 41.0 
180 18009 44.0 
193 19347 46.0 
195 19523 48.0 
