0 1 0.0 
0 22 1.0 
12 1259 2.0 
44 4454 3.0 
101 10122 4.0 
133 13392 5.0 
182 18240 6.0 
196 19692 7.0 
252 25215 9.0 
352 35213 10.0 
361 36170 11.0 
442 44219 12.0 
506 50683 13.0 
537 53741 14.0 
575 57584 15.0 
621 62141 16.0 
664 66448 17.0 
664 66460 19.0 
770 77067 20.0 
==== END RUN ====
0 1 0.0 
0 77 1.0 
8 861 2.0 
40 4055 3.0 
89 8980 4.0 
141 14169 5.0 
165 16528 6.0 
182 18235 7.0 
285 28589 8.0 
313 31357 9.0 
353 35312 10.0 
357 35727 12.0 
451 45184 13.0 
524 52484 14.0 
540 54022 15.0 
589 58984 17.0 
744 74443 18.0 
769 76915 19.0 
854 85480 20.0 
==== END RUN ====
0 1 0.0 
0 35 1.0 
6 651 2.0 
29 2975 3.0 
39 3937 5.0 
154 15405 6.0 
163 16319 7.0 
175 17561 8.0 
282 28271 9.0 
335 33591 10.0 
385 38585 11.0 
418 41822 12.0 
489 48937 13.0 
496 49634 14.0 
577 57771 15.0 
580 58064 16.0 
655 65554 17.0 
663 66358 18.0 
741 74103 19.0 
747 74745 20.0 
==== END RUN ====
0 1 0.0 
0 37 1.0 
4 411 2.0 
55 5580 3.0 
86 8661 4.0 
115 11561 5.0 
137 13768 7.0 
220 22096 8.0 
258 25875 9.0 
310 31014 10.0 
329 32919 12.0 
392 39276 13.0 
412 41260 14.0 
514 51422 15.0 
575 57574 16.0 
602 60300 17.0 
683 68363 18.0 
769 76917 19.0 
839 83995 20.0 
==== END RUN ====
0 1 0.0 
0 32 1.0 
11 1171 2.0 
63 6310 3.0 
87 8718 4.0 
124 12409 5.0 
174 17496 6.0 
230 23067 7.0 
279 27963 8.0 
316 31687 9.0 
385 38584 10.0 
431 43130 11.0 
492 49273 12.0 
541 54175 13.0 
579 57918 14.0 
633 63333 15.0 
645 64546 16.0 
680 68018 17.0 
748 74821 18.0 
837 83724 19.0 
864 86479 20.0 
==== END RUN ====
0 1 0.0 
0 7 1.0 
4 451 2.0 
28 2863 3.0 
85 8578 4.0 
110 11037 6.0 
208 20892 7.0 
266 26613 8.0 
402 40243 9.0 
460 46097 10.0 
492 49215 11.0 
566 56692 12.0 
605 60582 13.0 
644 64474 14.0 
770 77032 15.0 
865 86553 16.0 
932 93249 17.0 
955 95503 18.0 
1026 102678 19.0 
1307 130794 20.0 
==== END RUN ====
0 1 0.0 
2 203 2.0 
60 6018 3.0 
101 10147 4.0 
134 13493 5.0 
165 16572 6.0 
230 23097 7.0 
256 25654 8.0 
279 27972 9.0 
311 31139 10.0 
353 35317 11.0 
408 40869 12.0 
480 48088 13.0 
530 53053 14.0 
567 56710 15.0 
615 61576 16.0 
667 66707 17.0 
701 70143 18.0 
761 76105 19.0 
809 80983 20.0 
==== END RUN ====
0 1 0.0 
0 49 1.0 
1 193 2.0 
44 4483 3.0 
90 9048 4.0 
97 9748 5.0 
159 15950 6.0 
210 21010 7.0 
252 25240 8.0 
285 28540 9.0 
317 31732 10.0 
345 34584 11.0 
410 41074 12.0 
478 47894 13.0 
502 50235 14.0 
561 56117 15.0 
649 64952 16.0 
664 66471 17.0 
698 69856 18.0 
729 72969 19.0 
770 77031 20.0 
==== END RUN ====
0 1 0.0 
0 20 1.0 
0 62 2.0 
38 3865 3.0 
88 8858 4.0 
106 10608 5.0 
137 13702 6.0 
200 20004 7.0 
224 22455 8.0 
266 26631 10.0 
363 36316 11.0 
605 60557 12.0 
693 69394 13.0 
713 71372 14.0 
776 77609 15.0 
810 81027 16.0 
864 86473 17.0 
946 94637 18.0 
1058 105854 19.0 
1163 116317 20.0 
==== END RUN ====
0 1 0.0 
0 30 1.0 
11 1139 2.0 
25 2553 3.0 
71 7113 4.0 
95 9535 5.0 
123 12308 6.0 
172 17296 8.0 
201 20181 9.0 
282 28293 10.0 
334 33438 11.0 
351 35137 12.0 
415 41596 13.0 
446 44636 15.0 
523 52348 16.0 
588 58892 17.0 
625 62588 18.0 
684 68409 19.0 
753 75336 20.0 
==== END RUN ====
0 1 0.0 
0 6 1.0 
3 323 2.0 
30 3022 3.0 
82 8289 4.0 
94 9431 5.0 
153 15353 6.0 
169 16975 7.0 
229 22986 8.0 
232 23255 9.0 
248 24871 10.0 
299 29918 11.0 
343 34325 12.0 
390 39056 13.0 
406 40637 14.0 
458 45871 15.0 
521 52145 16.0 
649 64979 17.0 
705 70533 18.0 
767 76709 19.0 
857 85768 20.0 
==== END RUN ====
0 1 0.0 
0 60 1.0 
3 376 2.0 
36 3651 3.0 
58 5896 4.0 
101 10105 5.0 
105 10561 6.0 
178 17896 7.0 
221 22107 8.0 
255 25562 9.0 
282 28273 10.0 
344 34459 11.0 
389 38910 12.0 
412 41213 13.0 
434 43480 14.0 
485 48552 15.0 
576 57676 16.0 
595 59530 17.0 
654 65437 18.0 
694 69455 19.0 
732 73256 20.0 
==== END RUN ====
0 1 0.0 
0 75 1.0 
1 108 2.0 
38 3887 3.0 
69 6921 4.0 
111 11165 5.0 
145 14530 7.0 
215 21548 8.0 
259 25920 9.0 
334 33422 10.0 
381 38141 11.0 
402 40226 12.0 
458 45830 13.0 
478 47830 14.0 
536 53616 15.0 
568 56807 16.0 
679 67950 17.0 
725 72552 18.0 
774 77458 19.0 
811 81130 20.0 
==== END RUN ====
0 1 0.0 
0 65 2.0 
31 3101 4.0 
115 11558 5.0 
159 15949 6.0 
197 19773 7.0 
252 25203 8.0 
319 31977 9.0 
377 37703 10.0 
387 38748 11.0 
404 40497 12.0 
514 51475 13.0 
566 56617 14.0 
602 60279 15.0 
652 65225 16.0 
699 69940 17.0 
778 77828 18.0 
884 88469 19.0 
905 90593 20.0 
==== END RUN ====
0 1 0.0 
0 84 1.0 
22 2253 2.0 
27 2702 3.0 
83 8366 4.0 
149 14949 5.0 
183 18354 7.0 
281 28148 8.0 
292 29256 9.0 
353 35388 10.0 
386 38696 11.0 
429 42985 12.0 
433 43396 13.0 
477 47773 14.0 
544 54420 15.0 
582 58212 17.0 
601 60182 18.0 
655 65565 19.0 
675 67551 20.0 
==== END RUN ====
0 1 0.0 
0 13 1.0 
2 271 2.0 
44 4403 3.0 
76 7623 4.0 
132 13292 5.0 
148 14867 6.0 
201 20149 7.0 
252 25223 8.0 
300 30030 9.0 
330 33013 10.0 
369 36904 11.0 
390 39001 12.0 
424 42487 13.0 
450 45038 14.0 
489 48915 15.0 
502 50259 16.0 
