0 1 24.0 
0 2 35.0 
0 5 40.0 
0 12 41.0 
0 17 46.0 
0 68 52.0 
0 97 55.0 
3 9632 56.0 
21 68258 57.0 
30 98841 59.0 
52 168393 60.0 
62 199797 61.0 
73 235394 62.0 
83 266180 63.0 
88 284624 66.0 
90 289936 67.0 
115 368050 69.0 
121 388289 70.0 
134 431302 71.0 
145 466476 72.0 
154 494660 73.0 
154 495507 74.0 
160 514551 75.0 
167 535858 76.0 
177 567038 77.0 
192 615564 79.0 
209 671484 80.0 
==== END RUN ====
0 1 33.0 
0 4 38.0 
0 10 41.0 
0 19 45.0 
0 70 46.0 
0 118 47.0 
0 121 50.0 
0 274 51.0 
0 1596 52.0 
0 1643 56.0 
4 15076 58.0 
16 51499 59.0 
66 211392 60.0 
67 216141 61.0 
82 263640 62.0 
90 288260 63.0 
90 291114 64.0 
92 296424 65.0 
110 355048 66.0 
117 375380 67.0 
124 398734 68.0 
127 406932 69.0 
130 418656 71.0 
139 445938 73.0 
156 501196 74.0 
166 532218 75.0 
167 536187 76.0 
185 593744 77.0 
191 613706 78.0 
201 646166 79.0 
212 679268 80.0 
==== END RUN ====
0 1 29.0 
0 3 33.0 
0 4 43.0 
0 5 44.0 
0 39 45.0 
0 48 46.0 
0 62 47.0 
0 89 49.0 
0 338 50.0 
0 2582 51.0 
1 3225 52.0 
2 6419 56.0 
15 48380 57.0 
37 121166 58.0 
43 138368 59.0 
47 151058 60.0 
54 175223 61.0 
68 217610 62.0 
73 234639 63.0 
73 236043 64.0 
87 279928 65.0 
94 303689 69.0 
95 305753 71.0 
132 425300 72.0 
135 432930 73.0 
151 484187 74.0 
157 502443 75.0 
158 508130 76.0 
164 524865 77.0 
168 539642 78.0 
188 604758 79.0 
203 651882 80.0 
==== END RUN ====
0 1 27.0 
0 2 39.0 
0 15 41.0 
0 18 46.0 
0 108 49.0 
0 868 50.0 
0 1300 56.0 
11 37691 57.0 
12 40507 63.0 
93 300234 64.0 
106 339929 68.0 
128 412172 70.0 
138 442012 71.0 
148 476048 72.0 
153 492770 73.0 
172 553007 74.0 
179 574458 76.0 
188 603128 77.0 
205 656889 78.0 
208 668582 79.0 
221 709074 80.0 
==== END RUN ====
0 1 35.0 
0 4 38.0 
0 7 39.0 
0 12 40.0 
0 17 41.0 
0 32 46.0 
0 35 49.0 
0 270 56.0 
14 46934 57.0 
15 48705 65.0 
99 319378 66.0 
105 338560 67.0 
120 386654 68.0 
122 391113 69.0 
139 444815 71.0 
140 448528 72.0 
156 501372 73.0 
167 535748 75.0 
179 574970 76.0 
196 629046 77.0 
209 670290 78.0 
219 700818 80.0 
==== END RUN ====
0 1 25.0 
0 2 32.0 
0 3 44.0 
0 17 47.0 
0 421 48.0 
0 737 49.0 
0 1041 51.0 
0 2126 56.0 
21 67505 57.0 
24 77695 58.0 
35 113541 60.0 
57 183344 61.0 
60 193485 62.0 
88 283472 64.0 
100 321173 65.0 
112 360034 66.0 
115 369126 69.0 
134 431504 72.0 
158 505785 73.0 
162 520754 75.0 
164 527944 76.0 
179 574970 77.0 
189 606242 78.0 
198 636281 79.0 
212 681354 80.0 
213 682894 81.0 
==== END RUN ====
0 1 35.0 
0 2 38.0 
0 5 40.0 
0 14 41.0 
0 48 43.0 
0 88 44.0 
0 115 45.0 
0 192 46.0 
0 232 47.0 
0 305 48.0 
0 774 49.0 
0 1263 50.0 
0 1660 51.0 
1 6083 52.0 
2 6936 55.0 
17 56038 57.0 
19 61888 58.0 
27 89046 60.0 
28 91341 61.0 
52 168613 62.0 
53 170527 63.0 
92 296081 67.0 
111 356548 68.0 
116 372748 69.0 
131 421956 70.0 
135 434764 71.0 
138 441919 72.0 
145 465996 73.0 
145 466452 74.0 
159 510029 77.0 
185 594228 78.0 
186 595614 80.0 
==== END RUN ====
0 1 34.0 
0 4 36.0 
0 16 38.0 
0 23 39.0 
0 35 42.0 
0 36 43.0 
0 66 50.0 
0 996 54.0 
0 1093 55.0 
1 3899 59.0 
40 130338 64.0 
101 323427 66.0 
123 395774 67.0 
125 402134 68.0 
128 412552 69.0 
130 418148 70.0 
139 446482 71.0 
150 480454 74.0 
166 532342 75.0 
176 566386 76.0 
183 587942 78.0 
204 653266 79.0 
212 681534 80.0 
==== END RUN ====
0 1 21.0 
0 2 38.0 
0 4 39.0 
0 6 41.0 
0 53 44.0 
0 58 60.0 
62 198456 64.0 
92 295142 65.0 
108 346982 68.0 
120 385792 70.0 
137 441104 72.0 
155 498958 73.0 
168 538386 75.0 
170 544289 76.0 
180 577174 77.0 
196 629490 78.0 
197 632632 79.0 
209 670696 80.0 
==== END RUN ====
0 1 25.0 
0 2 31.0 
0 3 35.0 
0 6 41.0 
0 8 44.0 
0 12 46.0 
0 40 48.0 
0 194 54.0 
1 3318 60.0 
3 10468 63.0 
80 258629 64.0 
89 286146 65.0 
92 297136 66.0 
109 351175 67.0 
114 367734 70.0 
134 429186 71.0 
134 431042 72.0 
144 461093 74.0 
157 504925 77.0 
187 598424 78.0 
201 644774 79.0 
218 700322 80.0 
==== END RUN ====
0 1 37.0 
0 10 43.0 
0 42 45.0 
0 43 46.0 
0 135 54.0 
2 8146 58.0 
43 139253 59.0 
48 154747 60.0 
86 276083 61.0 
90 289072 62.0 
99 319112 65.0 
103 330539 66.0 
115 369851 69.0 
133 428689 70.0 
141 452912 73.0 
162 521558 75.0 
171 549122 76.0 
185 594752 77.0 
188 604238 79.0 
220 705230 80.0 
==== END RUN ====
0 1 36.0 
0 3 38.0 
0 9 49.0 
0 442 51.0 
0 725 54.0 
1 3702 56.0 
1 4082 57.0 
11 37598 63.0 
72 230424 64.0 
96 308811 65.0 
96 309364 67.0 
122 392986 70.0 
134 429642 71.0 
144 461500 73.0 
147 471614 75.0 
159 511920 76.0 
175 561373 77.0 
182 582546 78.0 
194 622902 80.0 
==== END RUN ====
0 1 36.0 
0 10 42.0 
0 40 49.0 
0 321 54.0 
1 4114 55.0 
3 12135 56.0 
15 50857 60.0 
75 241085 62.0 
80 257567 63.0 
86 277939 64.0 
102 327772 66.0 
107 344209 67.0 
114 366059 68.0 
121 390052 69.0 
128 410952 70.0 
129 415946 71.0 
140 450632 73.0 
156 501870 74.0 
162 521564 75.0 
173 555707 76.0 
180 576746 77.0 
191 612374 78.0 
202 646762 79.0 
213 682600 80.0 
==== END RUN ====
0 1 39.0 
0 3 45.0 
0 40 46.0 
0 171 52.0 
0 2964 56.0 
5 17930 61.0 
59 191863 62.0 
84 271324 63.0 
90 289304 64.0 
110 352920 65.0 
115 368619 66.0 
119 382526 67.0 
127 408466 68.0 
131 421333 70.0 
142 456926 71.0 
157 504118 72.0 
162 519952 73.0 
172 551019 74.0 
180 577306 76.0 
197 632628 78.0 
211 676616 79.0 
229 733124 80.0 
==== END RUN ====
0 1 34.0 
0 2 35.0 
0 7 37.0 
0 13 39.0 
0 20 43.0 
0 91 44.0 
0 150 47.0 
0 254 50.0 
0 525 55.0 
1 4756 57.0 
9 29893 58.0 
43 138289 60.0 
64 204848 61.0 
72 231652 64.0 
80 256608 65.0 
82 264756 66.0 
97 311530 68.0 
110 352053 70.0 
125 402467 72.0 
134 430106 73.0 
147 471574 74.0 
153 490496 75.0 
166 531926 76.0 
173 555054 77.0 
180 577052 79.0 
205 656034 80.0 
==== END RUN ====
0 1 32.0 
0 3 36.0 
0 4 37.0 
0 9 42.0 
0 21 45.0 
0 23 51.0 
0 752 53.0 
4 13201 54.0 
5 17869 55.0 
12 39644 56.0 
21 68128 61.0 
81 261075 62.0 
83 265653 64.0 
87 278446 65.0 
104 333534 66.0 
104 333997 68.0 
120 386660 70.0 
130 417379 71.0 
134 431655 72.0 
138 443607 74.0 
158 506103 75.0 
166 532878 76.0 
167 536938 77.0 
175 561110 78.0 
190 610478 79.0 
213 684042 80.0 
==== END RUN ====
0 1 35.0 
0 2 36.0 
0 9 40.0 
0 10 44.0 
0 33 47.0 
0 42 48.0 
0 252 51.0 
0 1482 52.0 
1 5042 53.0 
2 7044 57.0 
14 45524 58.0 
23 76193 61.0 
76 245481 62.0 
80 257581 63.0 
95 306525 64.0 
100 320846 66.0 
107 343336 67.0 
117 376814 68.0 
119 381778 69.0 
120 384800 70.0 
138 441622 71.0 
138 442220 72.0 
141 452969 73.0 
148 476212 74.0 
153 490930 75.0 
161 518348 76.0 
168 538004 77.0 
183 585674 79.0 
199 637364 80.0 
==== END RUN ====
0 1 36.0 
0 2 41.0 
0 6 42.0 
0 18 46.0 
0 144 47.0 
0 256 48.0 
0 399 49.0 
0 587 54.0 
0 1882 56.0 
10 32853 58.0 
23 75264 59.0 
37 119239 60.0 
57 183260 61.0 
71 227539 62.0 
75 242820 64.0 
96 310263 66.0 
109 349466 67.0 
118 378074 68.0 
120 385066 69.0 
123 396599 72.0 
145 465154 73.0 
155 498714 74.0 
160 514178 75.0 
167 535922 77.0 
190 608772 78.0 
191 612122 79.0 
195 625394 80.0 
==== END RUN ====
0 1 37.0 
0 2 39.0 
0 13 40.0 
0 14 41.0 
0 33 46.0 
0 104 47.0 
0 120 49.0 
0 273 52.0 
0 1044 54.0 
2 7811 55.0 
21 67851 57.0 
27 89518 60.0 
88 283078 63.0 
100 320892 64.0 
118 378242 65.0 
120 387183 66.0 
129 415370 67.0 
134 429632 68.0 
138 443898 69.0 
154 494798 70.0 
157 502476 71.0 
164 526316 73.0 
165 529181 74.0 
187 599061 76.0 
199 637848 79.0 
236 757724 80.0 
==== END RUN ====
0 1 34.0 
0 3 40.0 
0 7 58.0 
12 41536 59.0 
19 62722 62.0 
32 104496 63.0 
81 261640 64.0 
97 312348 66.0 
100 321300 67.0 
108 347486 69.0 
123 396406 70.0 
131 420894 72.0 
138 443295 74.0 
158 505848 75.0 
159 511643 76.0 
176 564198 77.0 
180 578998 78.0 
192 616524 79.0 
204 653772 80.0 
==== END RUN ====
0 1 30.0 
0 2 33.0 
0 3 36.0 
0 8 38.0 
0 14 40.0 
0 26 44.0 
0 32 45.0 
0 64 46.0 
0 117 48.0 
0 643 53.0 
3 10142 54.0 
3 10882 55.0 
5 17619 56.0 
6 21202 57.0 
22 72190 60.0 
42 137540 61.0 
66 213620 62.0 
68 219655 65.0 
85 274614 66.0 
103 331737 67.0 
110 354542 69.0 
120 385586 70.0 
125 401836 71.0 
127 408665 72.0 
142 454604 73.0 
145 464682 75.0 
166 534370 76.0 
173 554989 77.0 
182 583183 78.0 
189 606666 79.0 
197 633564 80.0 
==== END RUN ====
0 1 42.0 
0 10 44.0 
0 42 50.0 
1 3229 51.0 
1 3498 52.0 
2 8036 54.0 
4 15451 55.0 
5 19175 56.0 
18 58509 58.0 
20 64730 59.0 
45 145975 60.0 
75 240040 61.0 
76 245449 63.0 
79 255176 64.0 
90 289470 66.0 
104 335650 67.0 
111 356250 68.0 
120 384844 69.0 
124 399757 71.0 
134 431054 72.0 
140 449294 73.0 
149 479528 74.0 
160 514966 75.0 
165 528702 78.0 
194 623898 79.0 
216 691534 80.0 
==== END RUN ====
0 1 41.0 
0 54 43.0 
0 82 44.0 
0 102 50.0 
0 265 51.0 
0 1579 54.0 
2 7884 62.0 
67 217013 63.0 
95 305690 64.0 
95 306609 66.0 
107 343158 67.0 
113 364538 68.0 
120 386961 69.0 
131 420046 72.0 
148 474023 73.0 
152 489212 74.0 
158 508298 75.0 
164 526636 76.0 
172 552086 77.0 
178 570670 78.0 
193 619568 79.0 
212 679496 80.0 
==== END RUN ====
0 1 38.0 
0 2 39.0 
0 5 40.0 
0 22 43.0 
0 31 44.0 
0 54 45.0 
0 129 47.0 
0 140 48.0 
0 662 50.0 
0 2230 54.0 
6 19613 57.0 
17 56853 59.0 
44 141299 60.0 
62 200861 62.0 
84 269766 64.0 
95 304311 65.0 
95 306330 67.0 
109 350108 69.0 
112 358451 71.0 
131 421105 73.0 
141 454033 74.0 
149 479186 75.0 
162 518572 76.0 
162 521538 78.0 
181 579248 79.0 
202 647826 80.0 
217 697376 81.0 
==== END RUN ====
0 1 32.0 
0 2 36.0 
0 4 39.0 
0 6 46.0 
0 16 47.0 
0 171 48.0 
0 322 52.0 
1 5005 56.0 
19 63537 58.0 
36 117836 59.0 
44 141848 60.0 
66 212118 63.0 
82 263880 65.0 
105 338148 67.0 
117 377581 69.0 
134 431376 73.0 
147 470627 74.0 
164 527059 75.0 
165 530519 76.0 
176 565924 77.0 
180 577274 78.0 
200 642198 79.0 
209 669772 80.0 
==== END RUN ====
0 1 37.0 
0 2 38.0 
0 10 46.0 
0 39 48.0 
0 64 52.0 
1 4709 58.0 
45 144024 60.0 
55 177245 61.0 
69 222691 62.0 
78 251404 63.0 
80 257462 64.0 
81 259378 65.0 
98 314607 66.0 
107 344046 68.0 
119 383024 69.0 
124 399062 70.0 
124 399428 71.0 
132 422964 72.0 
143 460764 73.0 
149 478674 74.0 
162 518460 75.0 
165 530366 76.0 
170 546277 78.0 
194 623354 79.0 
210 672920 80.0 
==== END RUN ====
0 1 38.0 
0 4 41.0 
0 7 45.0 
0 23 47.0 
0 173 48.0 
0 556 50.0 
0 1776 53.0 
1 5636 56.0 
3 9777 57.0 
5 19068 58.0 
15 49350 63.0 
75 241512 65.0 
108 348663 66.0 
120 385119 67.0 
123 395172 68.0 
132 424551 69.0 
132 425258 71.0 
148 476026 72.0 
158 506952 74.0 
173 553678 75.0 
186 596340 77.0 
201 643292 78.0 
207 662708 79.0 
218 698038 80.0 
229 735170 81.0 
==== END RUN ====
0 1 32.0 
0 4 46.0 
0 11 50.0 
0 67 52.0 
0 2074 53.0 
0 3065 57.0 
33 108644 58.0 
39 127949 61.0 
69 222248 66.0 
115 371018 67.0 
137 439034 68.0 
137 440887 69.0 
143 458596 70.0 
152 488854 72.0 
162 518418 73.0 
164 527437 76.0 
199 639252 78.0 
206 659750 79.0 
231 740826 80.0 
==== END RUN ====
0 1 32.0 
0 2 36.0 
0 8 47.0 
0 133 51.0 
0 403 52.0 
0 651 55.0 
4 15360 56.0 
26 83719 58.0 
31 99948 59.0 
48 153732 60.0 
60 192206 62.0 
60 194165 63.0 
72 231476 64.0 
75 242034 66.0 
112 359320 71.0 
146 467402 72.0 
147 471256 73.0 
158 507732 74.0 
162 520634 75.0 
165 530824 76.0 
179 574976 77.0 
189 606514 78.0 
196 629102 79.0 
208 666908 80.0 
==== END RUN ====
0 1 30.0 
0 2 35.0 
0 6 39.0 
0 12 44.0 
0 43 45.0 
0 180 47.0 
0 319 50.0 
0 715 51.0 
0 773 56.0 
19 60818 57.0 
22 71254 59.0 
55 177414 62.0 
76 244838 63.0 
89 287865 65.0 
109 349916 66.0 
112 360504 67.0 
121 389358 71.0 
